code,name,配售对象名称,初步配售数量（股), 获配金额（元)
603409.SH,汇通控股,东吴新趋势价值线灵活配置混合型证券投资基金,1000,24180.00
603409.SH,汇通控股,东吴兴享成长混合型证券投资基金,1000,24180.00
603409.SH,汇通控股,东吴安盈量化灵活配置混合型证券投资基金,1000,24180.00
603409.SH,汇通控股,东吴嘉禾优势精选混合型开放式证券投资基金,1000,24180.00
603409.SH,汇通控股,平安银行股份有限公司-东吴移动互联灵活配置混合型证券投资基金,1000,24180.00
603409.SH,汇通控股,合众人寿保险股份有限公司—传统产品,1000,24180.00
603409.SH,汇通控股,合众人寿保险股份有限公司—万能产品,1000,24180.00
603409.SH,汇通控股,合众人寿保险股份有限公司-分红-个险分红,1000,24180.00
603409.SH,汇通控股,合众人寿保险股份有限公司-万能-个险万能,1000,24180.00
603409.SH,汇通控股,合众人寿保险股份有限公司—分红产品,1000,24180.00
603409.SH,汇通控股,合众人寿保险股份有限公司－传统一号产品,1000,24180.00
603409.SH,汇通控股,合众人寿保险股份有限公司-传统-普通保险产品,1000,24180.00
603409.SH,汇通控股,合众人寿保险股份有限公司－分红一号产品,1000,24180.00
603409.SH,汇通控股,合众人寿保险股份有限公司－万能一号产品,1000,24180.00
603409.SH,汇通控股,宏利首选企业股票型证券投资基金,1000,24180.00
603409.SH,汇通控股,宏利中证主要消费红利指数型证券投资基金,1000,24180.00
603409.SH,汇通控股,百年人寿保险股份有限公司-传统保险产品,1000,24180.00
603409.SH,汇通控股,百年人寿保险股份有限公司-平衡自营,1000,24180.00
603409.SH,汇通控股,百年人寿保险股份有限公司-传统自营,1000,24180.00
603409.SH,汇通控股,百年人寿保险股份有限公司-分红保险产品,1000,24180.00
603409.SH,汇通控股,百年人寿保险股份有限公司-万能保险产品,1000,24180.00
603409.SH,汇通控股,百年人寿保险股份有限公司-百年传统,1000,24180.00
603409.SH,汇通控股,百年人寿保险股份有限公司-百年分红自营,1000,24180.00
603409.SH,汇通控股,东方阿尔法优势产业混合型发起式证券投资基金,1000,24180.00
603409.SH,汇通控股,东方阿尔法产业先锋混合型发起式证券投资基金,1000,24180.00
603409.SH,汇通控股,太平智选一年定期开放股票型发起式证券投资基金,1000,24180.00
603409.SH,汇通控股,太平智远三个月定期开放股票型发起式证券投资基金,1000,24180.00
603409.SH,汇通控股,太平灵活配置混合型发起式证券投资基金,1000,24180.00
603409.SH,汇通控股,太平智行三个月定期开放混合型发起式证券投资基金,1000,24180.00
603409.SH,汇通控股,金鹰民族新兴灵活配置混合型证券投资基金,1000,24180.00
603409.SH,汇通控股,金鹰稳健成长混合型证券投资基金,1000,24180.00
603409.SH,汇通控股,金鹰新能源混合型证券投资基金,1000,24180.00
603409.SH,汇通控股,金鹰时代领航一年持有期混合型证券投资基金,1000,24180.00
603409.SH,汇通控股,金鹰改革红利灵活配置混合型证券投资基金,1000,24180.00
603409.SH,汇通控股,金鹰产业升级混合型证券投资基金,1000,24180.00
603409.SH,汇通控股,金鹰医疗健康产业股票型证券投资基金,1000,24180.00
603409.SH,汇通控股,金鹰策略配置混合型证券投资基金,1000,24180.00
603409.SH,汇通控股,金鹰信息产业股票型证券投资基金,1000,24180.00
603409.SH,汇通控股,金鹰民安回报一年定期开放混合型证券投资基金,1000,24180.00
603409.SH,汇通控股,浙商智多兴稳健回报一年持有期混合型证券投资基金,1000,24180.00
603409.SH,汇通控股,浙商智能行业优选混合型发起式证券投资基金,1000,24180.00
603409.SH,汇通控股,浙商智选价值混合型证券投资基金,1000,24180.00
603409.SH,汇通控股,浙商智选领航三年持有期混合型证券投资基金,1000,24180.00
603409.SH,汇通控股,新华人寿保险股份有限公司-分红-团体分红,1000,24180.00
603409.SH,汇通控股,新华人寿保险股份有限公司-分红-个人分红,1000,24180.00
603409.SH,汇通控股,新华人寿保险股份有限公司-万能-得意理财,1000,24180.00
603409.SH,汇通控股,新华人寿保险股份有限公司-精选万能产品2,1000,24180.00
603409.SH,汇通控股,新华人寿保险股份有限公司-传统-普通保险产品,1000,24180.00
603409.SH,汇通控股,北京市（肆号）职业年金计划,1000,24180.00
603409.SH,汇通控股,广西壮族自治区拾号职业年金计划,1000,24180.00
603409.SH,汇通控股,中国远洋海运集团有限公司企业年金计划,1000,24180.00
603409.SH,汇通控股,天津市陆号职业年金计划,1000,24180.00
603409.SH,汇通控股,国网重庆市电力公司企业年金计划,1000,24180.00
603409.SH,汇通控股,吉林省叁号职业年金计划,1000,24180.00
603409.SH,汇通控股,中国铁路乌鲁木齐局集团有限公司企业年金计划,1000,24180.00
603409.SH,汇通控股,国寿永诚企业年金集合计划国寿养老稳健配置组合,1000,24180.00
603409.SH,汇通控股,国寿养老策略2号股票型养老金产品,1000,24180.00
603409.SH,汇通控股,上海市壹拾号职业年金计划,1000,24180.00
603409.SH,汇通控股,国网新疆电力有限公司企业年金计划,1000,24180.00
603409.SH,汇通控股,河南中烟工业有限责任公司企业年金计划,1000,24180.00
603409.SH,汇通控股,湖南省农村信用社联合社企业年金计划,1000,24180.00
603409.SH,汇通控股,陕西省（肆号）职业年金计划,1000,24180.00
603409.SH,汇通控股,福建省壹号职业年金计划,1000,24180.00
603409.SH,汇通控股,安徽省壹号职业年金计划,1000,24180.00
603409.SH,汇通控股,基本养老保险基金一九零三组合,1000,24180.00
603409.SH,汇通控股,国寿养老配置8号混合型养老金产品,1000,24180.00
603409.SH,汇通控股,山西省壹号职业年金计划,1000,24180.00
603409.SH,汇通控股,陕西省（壹号）职业年金计划,1000,24180.00
603409.SH,汇通控股,四川省玖号职业年金计划,1000,24180.00
603409.SH,汇通控股,中国铁路哈尔滨局集团有限公司企业年金计划,1000,24180.00
603409.SH,汇通控股,浙江省拾号职业年金计划,1000,24180.00
603409.SH,汇通控股,宁夏回族自治区贰号职业年金计划,1000,24180.00
603409.SH,汇通控股,招商银行股份有限公司企业年金计划,1000,24180.00
603409.SH,汇通控股,四川省壹拾壹号职业年金计划,1000,24180.00
603409.SH,汇通控股,浙江省叁号职业年金计划,1000,24180.00
603409.SH,汇通控股,中国长江三峡集团有限公司企业年金计划,1000,24180.00
603409.SH,汇通控股,国寿永睿企业年金集合计划国寿养老稳健配置组合,1000,24180.00
603409.SH,汇通控股,国寿养老配置10号混合型养老金产品,1000,24180.00
603409.SH,汇通控股,广西壮族自治区陆号职业年金计划,1000,24180.00
603409.SH,汇通控股,国网河南省电力公司企业年金计划,1000,24180.00
603409.SH,汇通控股,上海市壹号职业年金计划,1000,24180.00
603409.SH,汇通控股,国寿养老量化多策略FOF混合型养老金产品,1000,24180.00
603409.SH,汇通控股,中国船舶集团有限公司企业年金计划,1000,24180.00
603409.SH,汇通控股,湖南省（叁号）职业年金计划,1000,24180.00
603409.SH,汇通控股,交通银行股份有限公司企业年金计划,1000,24180.00
603409.SH,汇通控股,国网江苏省电力有限公司（国网B）企业年金计划,1000,24180.00
603409.SH,汇通控股,国寿养老策略3号股票型养老金产品,1000,24180.00
603409.SH,汇通控股,广东省拾贰号职业年金计划,1000,24180.00
603409.SH,汇通控股,辽宁省拾壹号职业年金计划,1000,24180.00
603409.SH,汇通控股,广东省壹号职业年金计划,1000,24180.00
603409.SH,汇通控股,福建省贰号职业年金计划,1000,24180.00
603409.SH,汇通控股,上海申通地铁集团有限公司企业年金计划,1000,24180.00
603409.SH,汇通控股,国家电力投资集团有限公司企业年金计划,1000,24180.00
603409.SH,汇通控股,河北省壹号职业年金计划,1000,24180.00
603409.SH,汇通控股,山东省（肆号）职业年金计划,1000,24180.00
603409.SH,汇通控股,四川省壹号职业年金计划,1000,24180.00
603409.SH,汇通控股,国网甘肃省电力公司企业年金计划,1000,24180.00
603409.SH,汇通控股,国寿养老配置1号混合型养老金产品,1000,24180.00
603409.SH,汇通控股,浙江省贰号职业年金计划,1000,24180.00
603409.SH,汇通控股,中国兵器工业集团有限公司企业年金计划,1000,24180.00
603409.SH,汇通控股,晋能控股装备制造集团有限公司企业年金计划,1000,24180.00
603409.SH,汇通控股,吉林省肆号职业年金计划,1000,24180.00
603409.SH,汇通控股,中央国家机关及所属事业单位（伍号）职业年金计划,1000,24180.00
